stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_accesible
2,GRPK0,Broadway & Sheridan Ave,,40.647356,-73.689531,,,,,,
3,GBRR0,Dubois Ave Opp Gibson Blvd. LIRR,,40.650595,-73.701527,,,,,,
4,GRAU0,Green Acre Rd & Sidney Pl,,40.662021,-73.714631,,,,,,
5,GRAC0,Green Acres Macys,,40.661828,-73.722585,,,,,,
6,VSRR0,S Franklin Av& W Hawthorne Av LIRR,,40.661166,-73.703052,,,,,,
7,CLMK0,Central Ave + Merrick Rd,,40.667715,-73.708016,,,,,,
8,HPEL1,Hempstead Tpke & Elmont Rd,,40.708206,-73.709819,,,,,,
9,JAMT0,Jamaica Bus Terminal,,40.707769,-73.795782,,,,,,
11,J1790,Hillside Ave & 178 St. (179 Subway),,40.712491,-73.78443,,,,,,
12,CCIP0,Hempstead Ave + 225th St. (CIP),,40.711608,-73.729348,,,,,,
14,HPMM0,Hempstead Tpke & Meacham Ave,,40.708058,-73.690578,,,,,,
15,FLDB0,N Fletcher Ave + Dutch Broadway,,40.686832,-73.702289,,,,,,
20,FKLNE,Hempstead Tpke & Franklin Ave,,40.707414,-73.676071,,,,,,
22,FREE0,Freeport LIRR Station,,40.657577,-73.580766,,,,,,
23,ATGR0,Atlantic Ave. & Grand Ave.,,40.638483,-73.612862,,,,,,
24,RVCP0,Rockvl Ctr: Merrick + Park Ave,,40.656192,-73.645286,,,,,,
25,LY5C0,Merrick Rd + Hempstead Ave 5 Corner,,40.657116,-73.67176,,,,,,
26,VSRW0,Merrick Rd + Rockaway Ave,,40.664813,-73.698047,,,,,,
27,CTYL0,Merrick Rd + Ocean Ave City Line,,40.6742,-73.727343,,,,,,
28,ARCH0,Archer Ave + Parsons Blvd,,40.70248,-73.799953,,,,,,
29,RCRRW,Rockville Centre LIRR,,40.657919,-73.646234,,,,,,
32,DMOT0,Demott Ave + Long Beach Rd,,40.67075,-73.6274,,,,,,
33,MKMK0,Merrick Rd + Merrick Ave,,40.656598,-73.549021,,,,,,
